Customer_ID,Customer_Name,Region,Segment,City,State,Country,Market,Market2
AB-100151,"Aaron Bergman","Southeast Asia",Consumer,Wuhan,Victoria,Vietnam,APAC,APAC
AB-100152,"Aaron Bergman",South,Consumer,Vincennes,Veneto,"United Kingdom",EU,EU
AB-100153,"Aaron Bergman",South,Consumer,Monterrey,"São Paulo",Nicaragua,LATAM,LATAM
AB-100154,"Aaron Bergman",West,Consumer,Seattle,Washington,"United States",US,"North America"
AB-100601,"Adam Bellavance","Southeast Asia","Home Office",Wafangdian,Singapore,Singapore,APAC,APAC
AB-100602,"Adam Bellavance",North,"Home Office",Villeneuve-la-Garenne,Scotland,"United Kingdom",EU,EU
AB-100603,"Adam Bellavance",South,"Home Office","Villa Nueva","Santo Domingo",Panama,LATAM,LATAM
AB-100604,"Adam Bellavance",West,"Home Office",Waynesboro,Washington,"United States",US,"North America"
AB-101051,"Adrian Barton",Oceania,Consumer,Sunbury,Victoria,India,APAC,APAC
AB-101052,"Adrian Barton",South,Consumer,Munster,Nord-Pas-de-Calais,Spain,EU,EU
AB-101053,"Adrian Barton",South,Consumer,Tegucigalpa,"San Luis Potosí",Peru,LATAM,LATAM
AB-101054,"Adrian Barton",West,Consumer,Portland,Texas,"United States",US,"North America"
AB-101501,"Aimee Bixby",Oceania,Consumer,Yuyao,Zhejiang,"South Korea",APAC,APAC
AB-101502,"Aimee Bixby",South,Consumer,"San Fernando",Poitou-Charentes,"United Kingdom",EU,EU
AB-101503,"Aimee Bixby",South,Consumer,Tegucigalpa,Yucatán,Venezuela,LATAM,LATAM
AB-101504,"Aimee Bixby",East,Consumer,Yonkers,Texas,"United States",US,"North America"
AB-101651,"Alan Barnes","Southeast Asia",Consumer,Singapore,"Tamil Nadu",Singapore,APAC,APAC
AB-101652,"Alan Barnes",North,Consumer,Paris,Saxony,"United Kingdom",EU,EU
AB-101653,"Alan Barnes",North,Consumer,"Villa Canales","Nuevo León",Mexico,LATAM,LATAM
AB-101654,"Alan Barnes",West,Consumer,Toledo,Washington,"United States",US,"North America"
AB-102551,"Alejandro Ballentine","Southeast Asia","Home Office",Zhangzhou,"Thủ Dô Hà Nội",Vietnam,APAC,APAC
AB-102552,"Alejandro Ballentine",South,"Home Office",Rome,Saxony-Anhalt,"United Kingdom",EU,EU
AB-102553,"Alejandro Ballentine",South,"Home Office",Tlaquepaque,"Santo Domingo",Panama,LATAM,LATAM
AB-102554,"Alejandro Ballentine",West,"Home Office",Seattle,Washington,"United States",US,"North America"
AB-1051,"Adrian Barton",Africa,Consumer,Koforidua,Orientale,Ghana,Africa,Africa
AB-1052,"Adrian Barton",Canada,Consumer,Toronto,Ontario,Canada,Canada,"North America"
AB-1053,"Adrian Barton",EMEA,Consumer,Vinnytsya,Vinnytsya,Ukraine,EMEA,EMEA
AB-106001,"Ann Blume","Southeast Asia",Corporate,Wollongong,"Uttar Pradesh",Thailand,APAC,APAC
AB-106002,"Ann Blume",South,Corporate,Zaanstad,"North Rhine-Westphalia",Portugal,EU,EU
AB-106003,"Ann Blume",South,Corporate,"Piedras Negras",Guatemala,Mexico,LATAM,LATAM
AB-106004,"Ann Blume",West,Corporate,Tucson,"North Carolina","United States",US,"North America"
AB-1501,"Aimee Bixby",EMEA,Consumer,Sincan,Khuzestan,Ukraine,EMEA,EMEA
AB-151,"Aaron Bergman",Africa,Consumer,Yaounde,Copperbelt,Zambia,Africa,Africa
AB-152,"Aaron Bergman",EMEA,Consumer,Qom,Zaporizhzhya,Ukraine,EMEA,EMEA
AB-1651,"Alan Barnes",Africa,Consumer,Niamey,Niamey,Niger,Africa,Africa
AB-1652,"Alan Barnes",Canada,Consumer,Hamilton,Ontario,Canada,Canada,"North America"
AB-1653,"Alan Barnes",EMEA,Consumer,Warsaw,Podlaskie,Turkey,EMEA,EMEA
AB-2551,"Alejandro Ballentine",Africa,"Home Office",Sale,"Western Cape","South Africa",Africa,Africa
AB-2552,"Alejandro Ballentine",Canada,"Home Office",Whitby,Ontario,Canada,Canada,"North America"
AB-2553,"Alejandro Ballentine",EMEA,"Home Office",Zahedan,"Sistan Va Baluchestan",Turkey,EMEA,EMEA
AB-6001,"Ann Blume",Africa,Corporate,Sale,Rabat-Salé-Zemmour-Zaer,Togo,Africa,Africa
AB-6002,"Ann Blume",EMEA,Corporate,Tallinn,Silesia,Poland,EMEA,EMEA
AB-601,"Adam Bellavance",Africa,"Home Office",Marrakech,"Western Cape",Zimbabwe,Africa,Africa
AB-602,"Adam Bellavance",EMEA,"Home Office",Kaunas,Mehedinti,Turkey,EMEA,EMEA
AC-104201,"Alyssa Crouse","Southeast Asia",Corporate,Manila,Yunnan,Thailand,APAC,APAC
AC-104202,"Alyssa Crouse",South,Corporate,Widnes,"Provence-Alpes-Côte d'Azur","United Kingdom",EU,EU
AC-104203,"Alyssa Crouse",South,Corporate,Taubaté,"Villa Clara",Mexico,LATAM,LATAM
AC-104204,"Alyssa Crouse",West,Corporate,"San Francisco",Texas,"United States",US,"North America"
AC-104501,"Amy Cox","Southeast Asia",Consumer,Toowoomba,Tasmania,Indonesia,APAC,APAC
AC-104502,"Amy Cox",North,Consumer,Versailles,"North Rhine-Westphalia","United Kingdom",EU,EU
AC-104503,"Amy Cox",South,Consumer,"Santo Domingo","Santo Domingo",Venezuela,LATAM,LATAM
AC-104504,"Amy Cox",West,Consumer,Tampa,Washington,"United States",US,"North America"
AC-106151,"Ann Chong","Southeast Asia",Corporate,Tasikmalaya,"West Bengal","New Zealand",APAC,APAC
AC-106152,"Ann Chong",South,Corporate,Stockholm,Veneto,"United Kingdom",EU,EU
AC-106153,"Ann Chong",South,Corporate,"San Salvador",Veracruz,Venezuela,LATAM,LATAM
AC-106154,"Ann Chong",West,Corporate,Seattle,Washington,"United States",US,"North America"
AC-106601,"Anna Chung","Southeast Asia",Consumer,Daejeon,"Tỉnh Cần Thơ",Vietnam,APAC,APAC
AC-106602,"Anna Chung",South,Consumer,Marseille,"Västra Götaland","United Kingdom",EU,EU
AC-106603,"Anna Chung",South,Consumer,Tegucigalpa,Sonora,Nicaragua,LATAM,LATAM
AC-106604,"Anna Chung",West,Consumer,"San Francisco",Texas,"United States",US,"North America"
AC-4201,"Alyssa Crouse",Africa,Corporate,Messaad,Ouest,"South Africa",Africa,Africa
AC-4202,"Alyssa Crouse",EMEA,Corporate,Soma,Manisa,Turkey,EMEA,EMEA
AC-4501,"Amy Cox",Africa,Consumer,Newcastle,Kwazulu-natal,"South Africa",Africa,Africa
AC-4502,"Amy Cox",Canada,Consumer,Regina,Saskatchewan,Canada,Canada,"North America"
AC-4503,"Amy Cox",EMEA,Consumer,Riyadh,Qostanay,"Saudi Arabia",EMEA,EMEA
AC-6151,"Ann Chong",Africa,Corporate,Nairobi,Nairobi,Somalia,Africa,Africa
AC-6152,"Ann Chong",EMEA,Corporate,Vienna,Vienna,Ukraine,EMEA,EMEA
AC-6601,"Anna Chung",Africa,Consumer,Foumban,Ouest,Morocco,Africa,Africa
AC-6602,"Anna Chung",EMEA,Consumer,Mosul,Ninawa,Iraq,EMEA,EMEA
AD-101801,"Alan Dominguez","Southeast Asia","Home Office",Zhoukou,"Western Australia","New Zealand",APAC,APAC
AD-101802,"Alan Dominguez",North,"Home Office",Plymouth,Ile-de-France,"United Kingdom",EU,EU
AD-101803,"Alan Dominguez",South,"Home Office","San Justo",Yucatán,Mexico,LATAM,LATAM
AD-101804,"Alan Dominguez",West,"Home Office",Yonkers,Texas,"United States",US,"North America"
AD-1801,"Alan Dominguez",Africa,"Home Office",Cairo,"Al Qahirah",Egypt,Africa,Africa
AD-1802,"Alan Dominguez",EMEA,"Home Office",Istanbul,Istanbul,Turkey,EMEA,EMEA
AF-108701,"Art Ferguson","Southeast Asia",Consumer,Tangshan,"Western Australia",Vietnam,APAC,APAC
AF-108702,"Art Ferguson",South,Consumer,Seville,Sicily,Spain,EU,EU
AF-108703,"Art Ferguson",South,Consumer,Tegucigalpa,"Villa Clara",Mexico,LATAM,LATAM
AF-108704,"Art Ferguson",West,Consumer,"San Francisco",Texas,"United States",US,"North America"
AF-108851,"Art Foster","Southeast Asia",Consumer,Surabaya,"Western Australia",Vietnam,APAC,APAC
AF-108852,"Art Foster",South,Consumer,Venice,Veneto,"United Kingdom",EU,EU
AF-108853,"Art Foster",South,Consumer,"Santo Domingo","Santo Domingo",Mexico,LATAM,LATAM
AF-108854,"Art Foster",South,Consumer,Toledo,Pennsylvania,"United States",US,"North America"
AF-8701,"Art Ferguson",Africa,Consumer,Moshi,"South Kivu",Tanzania,Africa,Africa
AF-8702,"Art Ferguson",Canada,Consumer,Peterborough,Ontario,Canada,Canada,"North America"
AF-8703,"Art Ferguson",EMEA,Consumer,Taraz,Zhambyl,Kazakhstan,EMEA,EMEA
AF-8851,"Art Foster",Africa,Consumer,Kinshasa,Kinshasa,"Democratic Republic of the Congo",Africa,Africa
AF-8852,"Art Foster",EMEA,Consumer,Buzau,Buzau,Romania,EMEA,EMEA
AG-102701,"Alejandro Grove","Southeast Asia",Consumer,Yancheng,Telangana,Vietnam,APAC,APAC
AG-102702,"Alejandro Grove",North,Consumer,Vienna,Vienna,"United Kingdom",EU,EU
AG-102703,"Alejandro Grove",South,Consumer,"Villa Nueva",Tamaulipas,Nicaragua,LATAM,LATAM
AG-102704,"Alejandro Grove",West,Consumer,"West Jordan",Utah,"United States",US,"North America"
AG-103001,"Aleksandra Gannaway","Southeast Asia",Corporate,Suzhou,Zhejiang,"New Zealand",APAC,APAC
AG-103002,"Aleksandra Gannaway",South,Corporate,Trieste,Oslo,"United Kingdom",EU,EU
AG-103003,"Aleksandra Gannaway",South,Corporate,Victoria,Tamaulipas,Panama,LATAM,LATAM
AG-103004,"Aleksandra Gannaway",West,Corporate,"San Francisco",Nevada,"United States",US,"North America"
AG-103301,"Alex Grayson","Southeast Asia",Consumer,Weifang,Taranaki,Philippines,APAC,APAC
AG-103302,"Alex Grayson",South,Consumer,Turku,Rhineland-Palatinate,"United Kingdom",EU,EU
AG-103303,"Alex Grayson",South,Consumer,Tegucigalpa,Zulia,Venezuela,LATAM,LATAM
AG-103304,"Alex Grayson",West,Consumer,Tulsa,Texas,"United States",US,"North America"
AG-103901,"Allen Goldenen",Oceania,Consumer,Wollongong,"South Australia",Australia,APAC,APAC
AG-103902,"Allen Goldenen",Central,Consumer,Toulouse,"South Holland",Netherlands,EU,EU
AG-103903,"Allen Goldenen",South,Consumer,"São Paulo","São Paulo",Mexico,LATAM,LATAM
AG-103904,"Allen Goldenen",West,Consumer,"New York City",Virginia,"United States",US,"North America"
AG-104951,"Andrew Gjertsen","Southeast Asia",Corporate,Xiangtan,"Western Australia",Philippines,APAC,APAC
AG-104952,"Andrew Gjertsen",South,Corporate,Toulouse,Rhône-Alpes,Italy,EU,EU
AG-104953,"Andrew Gjertsen",North,Corporate,Tlalpan,Ouest,Nicaragua,LATAM,LATAM
AG-104954,"Andrew Gjertsen",West,Corporate,Seattle,Washington,"United States",US,"North America"
AG-105251,"Andy Gerbode","Central Asia",Corporate,Nellore,Punjab,Pakistan,APAC,APAC
AG-105252,"Andy Gerbode",South,Corporate,Verona,Veneto,"United Kingdom",EU,EU
AG-105253,"Andy Gerbode",South,Corporate,"Santo Domingo","Santo Domingo",Mexico,LATAM,LATAM
AG-105254,"Andy Gerbode",South,Corporate,"Saint Petersburg",Virginia,"United States",US,"North America"
AG-106751,"Anna Gayman","Southeast Asia",Consumer,Traralgon,Victoria,Philippines,APAC,APAC
AG-106752,"Anna Gayman",South,Consumer,Viterbo,"Provence-Alpes-Côte d'Azur","United Kingdom",EU,EU
AG-106753,"Anna Gayman",South,Consumer,Tegucigalpa,"São Paulo",Panama,LATAM,LATAM
AG-106754,"Anna Gayman",South,Consumer,Salem,Wisconsin,"United States",US,"North America"
AG-107651,"Anthony Garverick","Southeast Asia","Home Office",Xinzhou,Maharashtra,Indonesia,APAC,APAC
AG-107652,"Anthony Garverick",South,"Home Office",Vienna,Vienna,"United Kingdom",EU,EU
AG-107653,"Anthony Garverick",South,"Home Office",Zapopan,Tocantins,Uruguay,LATAM,LATAM
AG-107654,"Anthony Garverick",South,"Home Office",Philadelphia,Virginia,"United States",US,"North America"
AG-109001,"Arthur Gainer","Southeast Asia",Consumer,Sydney,"Uttar Pradesh",Singapore,APAC,APAC
AG-109002,"Arthur Gainer",South,Consumer,Villeneuve-Saint-Georges,Piedmont,Spain,EU,EU
AG-109003,"Arthur Gainer",South,Consumer,"Mexico City",Paraíba,Nicaragua,LATAM,LATAM
AG-109004,"Arthur Gainer",West,Consumer,Waterbury,Wisconsin,"United States",US,"North America"
AG-2701,"Alejandro Grove",Africa,Consumer,Yaounde,Rabat-Salé-Zemmour-Zaer,Mozambique,Africa,Africa
AG-2702,"Alejandro Grove",Canada,Consumer,Abbotsford,"British Columbia",Canada,Canada,"North America"
AG-2703,"Alejandro Grove",EMEA,Consumer,Sanliurfa,Sanliurfa,Turkey,EMEA,EMEA
AG-3001,"Aleksandra Gannaway",Africa,Corporate,Matola,Maputo,Nigeria,Africa,Africa
AG-3002,"Aleksandra Gannaway",EMEA,Corporate,"Wadi as Sir",Istanbul,Turkey,EMEA,EMEA
AG-3301,"Alex Grayson",Africa,Consumer,Tetouan,Tanger-Tétouan,Tanzania,Africa,Africa
AG-3302,"Alex Grayson",EMEA,Consumer,Jeddah,Makkah,"Saudi Arabia",EMEA,EMEA
AG-3901,"Allen Goldenen",Africa,Consumer,Gulu,Southern,Uganda,Africa,Africa
AG-3902,"Allen Goldenen",EMEA,Consumer,Prague,Prague,Turkey,EMEA,EMEA
AG-4951,"Andrew Gjertsen",Africa,Corporate,Windhoek,"Western Cape","South Africa",Africa,Africa
AG-4952,"Andrew Gjertsen",Canada,Corporate,Oakville,Ontario,Canada,Canada,"North America"
AG-4953,"Andrew Gjertsen",EMEA,Corporate,Vienna,Vienna,Turkey,EMEA,EMEA
AG-5251,"Andy Gerbode",Africa,Corporate,Mombasa,Ruvuma,Tanzania,Africa,Africa
AG-5252,"Andy Gerbode",EMEA,Corporate,Ardabil,Ardabil,Iran,EMEA,EMEA
AG-6751,"Anna Gayman",Africa,Consumer,Quelimane,Zambezia,Uganda,Africa,Africa
AG-6752,"Anna Gayman",EMEA,Consumer,Vienna,Vienna,Ukraine,EMEA,EMEA
AG-7651,"Anthony Garverick",Africa,"Home Office",Sapele,Mostaganem,Nigeria,Africa,Africa
AG-7652,"Anthony Garverick",EMEA,"Home Office",Vienna,Vienna,Turkey,EMEA,EMEA
AG-9001,"Arthur Gainer",Africa,Consumer,Sale,Rabat-Salé-Zemmour-Zaer,Tanzania,Africa,Africa
AH-100301,"Aaron Hawkins","Southeast Asia",Corporate,Yokkaichi,Yogyakarta,Philippines,APAC,APAC
AH-100302,"Aaron Hawkins",North,Corporate,"West Bromwich",Vienna,"United Kingdom",EU,EU
AH-100303,"Aaron Hawkins",South,Corporate,"Villa Canales",Santiago,Mexico,LATAM,LATAM
AH-100304,"Aaron Hawkins",West,Corporate,Troy,Pennsylvania,"United States",US,"North America"
AH-100751,"Adam Hart","Southeast Asia",Corporate,Wollongong,"Western Australia",Indonesia,APAC,APAC
AH-100752,"Adam Hart",South,Corporate,Veenendaal,"West Flanders","United Kingdom",EU,EU
AH-100753,"Adam Hart",South,Corporate,Zapopan,"Saint Michael",Nicaragua,LATAM,LATAM
AH-100754,"Adam Hart",West,Corporate,"New York City",Texas,"United States",US,"North America"
AH-101201,"Adrian Hane",Oceania,"Home Office",Qidong,"Western Australia",China,APAC,APAC
AH-101202,"Adrian Hane",North,"Home Office",Vienna,Vienna,"United Kingdom",EU,EU
AH-101203,"Adrian Hane",North,"Home Office",Tlalnepantla,Sinaloa,Mexico,LATAM,LATAM
AH-101204,"Adrian Hane",West,"Home Office",Tucson,Texas,"United States",US,"North America"
AH-101951,"Alan Haines","Southeast Asia",Corporate,"Murray Bridge","Western Australia",Philippines,APAC,APAC
AH-101952,"Alan Haines",South,Corporate,Trieste,"Trentino-Alto Adige","United Kingdom",EU,EU
AH-101953,"Alan Haines",South,Corporate,"São Miguel dos Campos","São Paulo",Uruguay,LATAM,LATAM
AH-101954,"Alan Haines",South,Corporate,Tamarac,Pennsylvania,"United States",US,"North America"
AH-102101,"Alan Hwang","Southeast Asia",Consumer,Singapore,Singapore,Singapore,APAC,APAC
AH-102102,"Alan Hwang",South,Consumer,Paris,Thuringia,"United Kingdom",EU,EU
AH-102103,"Alan Hwang",South,Consumer,Tegucigalpa,"Santo Domingo",Panama,LATAM,LATAM
AH-102104,"Alan Hwang",West,Consumer,Seattle,Washington,"United States",US,"North America"
AH-104651,"Amy Hunt","Southeast Asia",Consumer,Perth,"Western Australia",Philippines,APAC,APAC
AH-104652,"Amy Hunt",North,Consumer,Plymouth,"North Rhine-Westphalia","United Kingdom",EU,EU
AH-104653,"Amy Hunt",South,Consumer,Soyapango,Yucatán,Nicaragua,LATAM,LATAM
AH-104654,"Amy Hunt",West,Consumer,"San Francisco",Texas,"United States",US,"North America"
AH-105851,"Angele Hood","Southeast Asia",Consumer,Zhuhai,Victoria,Thailand,APAC,APAC
AH-105852,"Angele Hood",South,Consumer,Zeist,Utrecht,"United Kingdom",EU,EU
AH-105853,"Angele Hood",South,Consumer,"São Paulo",Zulia,Venezuela,LATAM,LATAM
AH-105854,"Angele Hood",West,Consumer,Seattle,Washington,"United States",US,"North America"
AH-106901,"Anna Häberlin",Oceania,Corporate,Sydney,Victoria,India,APAC,APAC
AH-106902,"Anna Häberlin",South,Corporate,Vienna,Vienna,"United Kingdom",EU,EU
AH-106903,"Anna Häberlin",South,Corporate,"Santa Marta",Tamaulipas,Nicaragua,LATAM,LATAM
AH-106904,"Anna Häberlin",West,Corporate,"Virginia Beach",Virginia,"United States",US,"North America"
AH-1201,"Adrian Hane",Africa,"Home Office",Niamey,Niamey,"South Africa",Africa,Africa
AH-1202,"Adrian Hane",EMEA,"Home Office",Pavlodar,Pavlodar,Kazakhstan,EMEA,EMEA
AH-1951,"Alan Haines",Africa,Corporate,Lagos,Lagos,Nigeria,Africa,Africa
AH-1952,"Alan Haines",Canada,Corporate,Waterloo,Ontario,Canada,Canada,"North America"
AH-1953,"Alan Haines",EMEA,Corporate,Tallinn,"Razavi Khorasan",Turkey,EMEA,EMEA
AH-2101,"Alan Hwang",Africa,Consumer,Algiers,Alger,Egypt,Africa,Africa
AH-2102,"Alan Hwang",EMEA,Consumer,Izmir,Izmir,Turkey,EMEA,EMEA
AH-301,"Aaron Hawkins",Africa,Corporate,"Port Harcourt",Rivers,Nigeria,Africa,Africa
AH-302,"Aaron Hawkins",EMEA,Corporate,Pazardzhik,Pomerania,Ukraine,EMEA,EMEA
AH-4651,"Amy Hunt",Africa,Consumer,Stellenbosch,"Western Cape","South Africa",Africa,Africa
AH-4652,"Amy Hunt",EMEA,Consumer,"Dayr az Zawr",Manisa,Turkey,EMEA,EMEA
AH-5851,"Angele Hood",Africa,Consumer,Nouakchott,Nouakchott,Mauritania,Africa,Africa
AH-5852,"Angele Hood",EMEA,Consumer,Vienna,Vienna,Turkey,EMEA,EMEA
AH-6901,"Anna Häberlin",Africa,Corporate,Cairo,Bulawayo,Zimbabwe,Africa,Africa
AH-6902,"Anna Häberlin",EMEA,Corporate,Mashhad,"Razavi Khorasan",Turkey,EMEA,EMEA
AH-751,"Adam Hart",Africa,Corporate,"Sidi Qacem",Oran,"South Africa",Africa,Africa
AH-752,"Adam Hart",Canada,Corporate,Oakville,Ontario,Canada,Canada,"North America"
AH-753,"Adam Hart",EMEA,Corporate,Aligudarz,Lorestan,Iran,EMEA,EMEA
AI-108551,"Arianne Irving","Southeast Asia",Consumer,Wellington,Wellington,"New Zealand",APAC,APAC
AI-108552,"Arianne Irving",South,Consumer,Oberhausen,Valenciana,"United Kingdom",EU,EU
AI-108553,"Arianne Irving",Central,Consumer,Soyapango,"San Salvador","El Salvador",LATAM,LATAM
AI-108554,"Arianne Irving",West,Consumer,"San Francisco",Washington,"United States",US,"North America"
AI-8551,"Arianne Irving",Africa,Consumer,Casablanca,"Grand Casablanca",Morocco,Africa,Africa
AI-8552,"Arianne Irving",EMEA,Consumer,Voronezh,Voronezh,Turkey,EMEA,EMEA
AJ-107801,"Anthony Jacobs","Southeast Asia",Corporate,Tirupati,Kabul,Indonesia,APAC,APAC
AJ-107802,"Anthony Jacobs",North,Corporate,"The Hague","South Holland","United Kingdom",EU,EU
AJ-107803,"Anthony Jacobs",South,Corporate,"Pontes e Lacerda",Sinaloa,Nicaragua,LATAM,LATAM
AJ-107804,"Anthony Jacobs",West,Corporate,Springfield,Virginia,"United States",US,"North America"
AJ-107951,"Anthony Johnson",Oceania,Corporate,Wollongong,Yunnan,India,APAC,APAC
AJ-107952,"Anthony Johnson",South,Corporate,Wigan,Rhône-Alpes,"United Kingdom",EU,EU
AJ-107953,"Anthony Johnson",South,Corporate,"San Miguelito",Panama,Panama,LATAM,LATAM
AJ-107954,"Anthony Johnson",West,Corporate,Springfield,Washington,"United States",US,"North America"
AJ-109451,"Ashley Jarboe","Southeast Asia",Consumer,Wuhan,"Uttar Pradesh",Philippines,APAC,APAC
AJ-109452,"Ashley Jarboe",North,Consumer,Turku,Rhône-Alpes,"United Kingdom",EU,EU
AJ-109453,"Ashley Jarboe",South,Consumer,Tinaquillo,Tamaulipas,Venezuela,LATAM,LATAM
AJ-109454,"Ashley Jarboe",West,Consumer,Wilmington,"North Carolina","United States",US,"North America"
AJ-109601,"Astrea Jones","Southeast Asia",Consumer,Wollongong,"Tamil Nadu","New Zealand",APAC,APAC
AJ-109602,"Astrea Jones",South,Consumer,Strasbourg,"Trentino-Alto Adige",Spain,EU,EU
AJ-109603,"Astrea Jones",Central,Consumer,"Santo Domingo","Santo Domingo",Honduras,LATAM,LATAM
AJ-109604,"Astrea Jones",West,Consumer,"San Diego","New York","United States",US,"North America"
AJ-7801,"Anthony Jacobs",Africa,Corporate,Maiduguri,Lagos,Senegal,Africa,Africa
AJ-7802,"Anthony Jacobs",Canada,Corporate,Brampton,Ontario,Canada,Canada,"North America"
AJ-7803,"Anthony Jacobs",EMEA,Corporate,Shahriar,Tehran,Russia,EMEA,EMEA
AJ-7951,"Anthony Johnson",Africa,Corporate,Sale,Rabat-Salé-Zemmour-Zaer,Sudan,Africa,Africa
AJ-7952,"Anthony Johnson",EMEA,Corporate,Tarnow,"Razavi Khorasan",Ukraine,EMEA,EMEA
AJ-9451,"Ashley Jarboe",Africa,Consumer,Saint-Louis,Saint-Louis,Somalia,Africa,Africa
AJ-9452,"Ashley Jarboe",EMEA,Consumer,Sumy,Sumy,Ukraine,EMEA,EMEA
AJ-9601,"Astrea Jones",Africa,Consumer,Onitsha,Nord,Nigeria,Africa,Africa
AJ-9602,"Astrea Jones",EMEA,Consumer,Izmir,Izmir,Turkey,EMEA,EMEA
AM-103601,"Alice McCarthy","Southeast Asia",Corporate,Tawau,Singapore,Singapore,APAC,APAC
AM-103602,"Alice McCarthy",South,Corporate,Warrington,Stockholm,"United Kingdom",EU,EU
AM-103603,"Alice McCarthy",South,Corporate,Tegucigalpa,Santiago,Peru,LATAM,LATAM
AM-103604,"Alice McCarthy",West,Corporate,Omaha,Texas,"United States",US,"North America"
AM-107051,"Anne McFarland","Southeast Asia",Consumer,Shanghai,Victoria,Vietnam,APAC,APAC
AM-107052,"Anne McFarland",South,Consumer,Zurich,Zürich,"United Kingdom",EU,EU
AM-107053,"Anne McFarland",North,Consumer,Sonsonate,Sonsonate,Mexico,LATAM,LATAM
AM-107054,"Anne McFarland",West,Consumer,Seattle,Washington,"United States",US,"North America"
AM-3601,"Alice McCarthy",Africa,Corporate,Maiduguri,"Western Cape","South Africa",Africa,Africa
AM-3602,"Alice McCarthy",EMEA,Corporate,Vienna,Vienna,Mongolia,EMEA,EMEA
AM-7051,"Anne McFarland",Africa,Consumer,Kumasi,Lagunes,Ghana,Africa,Africa
AM-7052,"Anne McFarland",Canada,Consumer,Mississauga,Ontario,Canada,Canada,"North America"
AM-7053,"Anne McFarland",EMEA,Consumer,Mazyr,Homyel',Belarus,EMEA,EMEA
AO-108101,"Anthony O'Donnell","Southeast Asia",Corporate,Sydney,"Western Australia","South Korea",APAC,APAC
AO-108102,"Anthony O'Donnell",South,Corporate,Seville,Sardinia,"United Kingdom",EU,EU
AO-108103,"Anthony O'Donnell",South,Corporate,Victoria,Veracruz,Mexico,LATAM,LATAM
AO-108104,"Anthony O'Donnell",West,Corporate,"Los Angeles",California,"United States",US,"North America"
AO-8101,"Anthony O'Donnell",Africa,Corporate,Minna,Niger,Nigeria,Africa,Africa
AO-8102,"Anthony O'Donnell",Canada,Corporate,"North York",Ontario,Canada,Canada,"North America"
AO-8103,"Anthony O'Donnell",EMEA,Corporate,"Tel Aviv","Tel Aviv","Saudi Arabia",EMEA,EMEA
AP-107201,"Anne Pryor","Southeast Asia","Home Office",Shanghai,Taranaki,Thailand,APAC,APAC
AP-107202,"Anne Pryor",North,"Home Office","Le Havre","Upper Normandy","United Kingdom",EU,EU
AP-107203,"Anne Pryor",South,"Home Office",Tipitapa,Santiago,Nicaragua,LATAM,LATAM
